region,date,frequency,unemployment_rate,employed,labour_participation_rate
Total,2018-05-20, W,5.04,402863366.0,42.83
Rural,2018-05-20, W,4.63,274169609.0,43.7
Urban,2018-05-20, W,5.91,128693757.0,41.11
Rural,2018-05-27, W,5.4,265905851.0,42.7
Urban,2018-05-27, W,6.5,127995032.0,41.12
Total,2018-05-27, W,5.76,393900883.0,42.17
Rural,2018-06-03, W,4.44,276973960.0,44.01
Urban,2018-06-03, W,6.9,128224890.0,41.36
Total,2018-06-03, W,5.23,405198851.0,43.12
Rural,2018-06-10, W,5.72,275064872.0,44.29
Total,2018-06-10, W,5.92,402516703.0,43.13
Urban,2018-06-10, W,6.34,127451831.0,40.84
Total,2018-06-17, W,5.68,404758537.0,43.24
Urban,2018-06-17, W,6.37,130183779.0,41.71
Rural,2018-06-17, W,5.35,274574758.0,44.01
Total,2018-06-24, W,4.9,409748512.0,43.39
Urban,2018-06-24, W,6.58,130940747.0,42.02
Rural,2018-06-24, W,4.09,278807765.0,44.09
Total,2018-07-01, W,6.07,391766013.0,41.99
Urban,2018-07-01, W,6.99,128785259.0,41.49
Rural,2018-07-01, W,5.61,262980754.0,42.24
Total,2018-07-08, W,5.55,389943977.0,41.54
Urban,2018-07-08, W,5.93,128110714.0,40.79
Rural,2018-07-08, W,5.36,261833263.0,41.92
Total,2018-07-15, W,5.38,396169769.0,42.11
Rural,2018-07-15, W,4.8,268700702.0,42.75
Urban,2018-07-15, W,6.57,127469067.0,40.85
Rural,2018-07-22, W,5.3,273920594.0,43.79
Urban,2018-07-22, W,6.11,129495196.0,41.27
Total,2018-07-22, W,5.56,403415791.0,42.94
Rural,2018-07-29, W,6.03,276463530.0,44.52
Urban,2018-07-29, W,5.83,128286200.0,40.75
Total,2018-07-29, W,5.97,404749730.0,43.25
Urban,2018-08-05, W,6.03,130629559.0,41.56
Total,2018-08-05, W,5.58,399722003.0,42.52
Rural,2018-08-05, W,5.36,269092444.0,43.01
Total,2018-08-12, W,6.92,399225437.0,43.06
Rural,2018-08-12, W,6.94,272385990.0,44.26
Urban,2018-08-12, W,6.88,126839447.0,40.7
Total,2018-08-19, W,6.7,400093573.0,43.03
Rural,2018-08-19, W,6.83,274677590.0,44.55
Urban,2018-08-19, W,6.42,125415983.0,40.03
Total,2018-08-26, W,5.78,400821214.0,42.67
Urban,2018-08-26, W,6.22,127677145.0,40.64
Rural,2018-08-26, W,5.57,273144069.0,43.7
Urban,2018-09-02, W,7.43,129001553.0,41.58
Rural,2018-09-02, W,5.03,285409595.0,45.38
Total,2018-09-02, W,5.79,414411147.0,44.1
Urban,2018-09-09, W,7.6,125760580.0,40.59
Rural,2018-09-09, W,5.99,276672391.0,44.42
Total,2018-09-09, W,6.5,402432971.0,43.13
Urban,2018-09-16, W,6.84,128766038.0,41.2
Rural,2018-09-16, W,5.96,284503561.0,45.64
Total,2018-09-16, W,6.24,413269599.0,44.15
Urban,2018-09-23, W,7.19,128318044.0,41.19
Rural,2018-09-23, W,6.91,274405507.0,44.46
Total,2018-09-23, W,7.0,402723551.0,43.36
Urban,2018-09-30, W,8.01,126032655.0,40.8
Total,2018-09-30, W,6.33,400813613.0,42.83
Rural,2018-09-30, W,5.54,274780958.0,43.85
Total,2018-10-07, W,6.81,397881990.0,42.71
Rural,2018-10-07, W,6.73,269963483.0,43.61
Urban,2018-10-07, W,6.99,127918507.0,40.94
Total,2018-10-14, W,6.96,386402333.0,41.53
Rural,2018-10-14, W,7.09,258614387.0,41.92
Urban,2018-10-14, W,6.7,127787947.0,40.75
Rural,2018-10-21, W,6.56,276814254.0,44.6
Urban,2018-10-21, W,8.03,128681251.0,41.6
Total,2018-10-21, W,7.03,405495505.0,43.59
Urban,2018-10-28, W,7.42,128094852.0,41.12
Total,2018-10-28, W,6.38,409925613.0,43.74
Rural,2018-10-28, W,5.89,281830761.0,45.07
Urban,2018-11-04, W,6.18,129323430.0,40.95
Total,2018-11-04, W,6.13,396793743.0,42.21
Rural,2018-11-04, W,6.1,267470313.0,42.85
Urban,2018-11-11, W,7.63,127725127.0,41.05
Rural,2018-11-11, W,7.25,263027804.0,42.64
Total,2018-11-11, W,7.37,390752930.0,42.1
Rural,2018-11-18, W,6.21,272179874.0,43.61
Total,2018-11-18, W,6.72,397943360.0,42.56
Urban,2018-11-18, W,7.81,125763486.0,40.48
Rural,2018-11-25, W,5.96,277495469.0,44.33
Total,2018-11-25, W,6.57,404978770.0,43.23
Urban,2018-11-25, W,7.89,127483301.0,41.05
Rural,2018-12-02, W,5.73,280194882.0,44.63
Total,2018-12-02, W,6.31,405568938.0,43.15
Urban,2018-12-02, W,7.6,125374056.0,40.23
Rural,2018-12-09, W,6.09,276387497.0,44.17
Total,2018-12-09, W,6.38,403807392.0,42.97
Urban,2018-12-09, W,7.01,127419895.0,40.61
Total,2018-12-16, W,8.38,396875399.0,43.14
Urban,2018-12-16, W,7.73,127618447.0,40.97
Rural,2018-12-16, W,8.68,269256953.0,44.24
Urban,2018-12-23, W,7.38,126819135.0,40.53
Total,2018-12-23, W,7.67,394379627.0,42.52
Rural,2018-12-23, W,7.81,267560492.0,43.52
Urban,2018-12-30, W,8.03,127268788.0,40.95
Total,2018-12-30, W,7.8,392511957.0,42.36
Rural,2018-12-30, W,7.69,265243169.0,43.07
Total,2019-01-06, W,7.79,408366865.0,44.04
Rural,2019-01-06, W,7.05,281505688.0,45.37
Urban,2019-01-06, W,9.38,126861177.0,41.41
Rural,2019-01-13, W,5.35,278792912.0,44.11
Urban,2019-01-13, W,8.71,128752936.0,41.69
Total,2019-01-13, W,6.44,407545849.0,43.3
Rural,2019-01-20, W,7.18,269910514.0,43.53
Urban,2019-01-20, W,7.88,132148198.0,42.38
Total,2019-01-20, W,7.41,402058712.0,43.15
Rural,2019-01-27, W,6.08,281166418.0,44.8
Total,2019-01-27, W,6.96,406786495.0,43.42
Urban,2019-01-27, W,8.86,125620077.0,40.7
Total,2019-02-03, W,6.78,404741561.0,43.1
Urban,2019-02-03, W,8.07,128229743.0,41.17
Rural,2019-02-03, W,6.18,276511818.0,44.08
Total,2019-02-10, W,7.91,395855360.0,42.65
Urban,2019-02-10, W,7.81,129658737.0,41.5
Rural,2019-02-10, W,7.96,266196623.0,43.24
Total,2019-02-17, W,6.58,400637756.0,42.53
Urban,2019-02-17, W,7.35,127891454.0,40.71
Rural,2019-02-17, W,6.21,272746302.0,43.46
Total,2019-02-24, W,7.12,408195791.0,43.57
Urban,2019-02-24, W,7.9,131739487.0,42.16
Rural,2019-02-24, W,6.75,276456304.0,44.28
Total,2019-03-03, W,6.42,404488997.0,42.83
Rural,2019-03-03, W,5.33,276971183.0,43.68
Urban,2019-03-03, W,8.69,127517813.0,41.14
Rural,2019-03-10, W,6.51,265591360.0,42.4
Urban,2019-03-10, W,7.78,128260171.0,40.95
Total,2019-03-10, W,6.93,393851532.0,41.91
Rural,2019-03-17, W,6.27,268413716.0,42.72
Urban,2019-03-17, W,8.43,125354597.0,40.29
Total,2019-03-17, W,6.97,393768313.0,41.9
Urban,2019-03-24, W,7.25,126044402.0,39.98
Total,2019-03-24, W,6.24,409417989.0,43.21
Rural,2019-03-24, W,5.79,283373587.0,44.85
Total,2019-03-31, W,6.43,409368498.0,43.27
Rural,2019-03-31, W,5.82,285653137.0,45.21
Urban,2019-03-31, W,7.79,123715361.0,39.45
Total,2019-04-07, W,7.91,402633820.0,43.23
Rural,2019-04-07, W,8.01,277878927.0,45.0
Urban,2019-04-07, W,7.68,124754893.0,39.72
Total,2019-04-14, W,8.06,411949815.0,44.28
Urban,2019-04-14, W,7.76,126710553.0,40.35
Rural,2019-04-14, W,8.19,285239263.0,46.27
Urban,2019-04-21, W,7.74,127202087.0,40.48
Rural,2019-04-21, W,8.67,272418205.0,44.4
Total,2019-04-21, W,8.38,399620292.0,43.08
Urban,2019-04-28, W,7.24,125820356.0,39.81
